state_id,cluster_id,state,embedding
99,7,"('ErrorHandle', 'SessionInit', 'DataParse')",-0.7398436665534973;0.035196878015995026
100,1,"('SessionInit', 'SessionInit', 'SampleExplore')",-0.5500869154930115;-0.4885353147983551
101,21,"('SessionInit', 'SampleExplore', 'HelpSeek')",-0.5228380560874939;0.012954502366483212
102,24,"('SampleExplore', 'HelpSeek', 'ChartLogic')",-0.5500869154930115;-0.4885353147983551
103,6,"('HelpSeek', 'ChartLogic', 'HelpSeek')",-0.5228380560874939;0.012954502366483212
104,23,"('ChartLogic', 'HelpSeek', 'ChartLogic')",-0.6087450981140137;-0.1148097813129425
105,1,"('HelpSeek', 'ChartLogic', 'StyleEdit')",-0.5500869154930115;-0.4885353147983551
106,23,"('ChartLogic', 'StyleEdit', 'HelpSeek')",-0.4806405007839203;-0.14578357338905334
107,14,"('StyleEdit', 'HelpSeek', 'DataParse')",-0.6888265013694763;0.14809197187423706
108,6,"('HelpSeek', 'DataParse', 'DataBind')",-0.7222707271575928;0.26841458678245544
109,23,"('DataParse', 'DataBind', 'ChartLogic')",-0.5228380560874939;0.012954502366483212
110,24,"('DataBind', 'ChartLogic', 'ChartLogic')",-0.5500869154930115;-0.4885353147983551
111,16,"('ErrorHandle', 'ErrorHandle', 'HelpSeek')",-0.8259360790252686;0.2712085545063019
112,13,"('ErrorHandle', 'HelpSeek', 'SampleExplore')",-0.5802133679389954;0.3059729337692261
113,23,"('SessionInit', 'HelpSeek', 'DataBind')",-0.6800575256347656;-0.3221322298049927
114,16,"('HelpSeek', 'DataBind', 'HelpSeek')",-0.483955055475235;0.08589094132184982
115,23,"('HelpSeek', 'DataBind', 'DataBind')",-0.6091675758361816;-0.25316423177719116
116,23,"('DataBind', 'DataBind', 'SessionInit')",-0.8129860758781433;-0.03262300044298172
117,9,"('SessionInit', 'DataBind', 'ErrorHandle')",-0.5518314838409424;-0.054917410016059875
118,14,"('DataBind', 'ErrorHandle', 'DataBind')",-0.5802133679389954;0.3059729337692261
119,19,"('ErrorHandle', 'DataBind', 'ErrorHandle')",-0.6602087020874023;0.43695059418678284
120,23,"('DataBind', 'ErrorHandle', 'DataParse')",-0.5228380560874939;0.012954502366483212
121,24,"('ErrorHandle', 'DataParse', 'ChartLogic')",-0.5500869154930115;-0.4885353147983551
122,6,"('DataParse', 'ChartLogic', 'HelpSeek')",-0.5228380560874939;0.012954502366483212
123,24,"('HelpSeek', 'ChartLogic', 'ChartLogic')",-0.5500869154930115;-0.4885353147983551
124,23,"('HelpSeek', 'StyleEdit', 'DataParse')",-0.5374391674995422;-0.20071637630462646
125,16,"('StyleEdit', 'DataParse', 'ParamAdjust')",-0.8129860758781433;-0.03262300044298172
126,23,"('SessionInit', 'HelpSeek', 'HelpSeek')",-0.8129860758781433;-0.03262300044298172
127,6,"('DataParse', 'ErrorHandle', 'DataBind')",-0.6602087020874023;0.43695059418678284
128,5,"('ErrorHandle', 'DataBind', 'DataParse')",-0.6443284749984741;0.3521592617034912
129,5,"('DataBind', 'DataParse', 'ErrorHandle')",-0.867526113986969;0.1690494418144226
130,1,"('DataParse', 'ErrorHandle', 'StyleEdit')",-0.4806405007839203;-0.14578357338905334
131,17,"('ErrorHandle', 'StyleEdit', 'StyleEdit')",-0.5500869154930115;-0.4885353147983551
132,13,"('HelpSeek', 'DataParse', 'ErrorHandle')",-0.7654531598091125;0.32102838158607483
133,6,"('ErrorHandle', 'DataParse', 'DataBind')",-0.6602087020874023;0.43695059418678284
134,23,"('HelpSeek', 'SessionInit', 'DataParse')",-0.5802133679389954;0.3059729337692261
135,13,"('ErrorHandle', 'DataParse', 'DataParse')",-0.7258985638618469;0.4167129397392273
136,6,"('ErrorHandle', 'HelpSeek', 'DataBind')",-0.6602087020874023;0.43695059418678284
137,5,"('HelpSeek', 'DataBind', 'DataParse')",-0.5802133679389954;0.3059729337692261
138,5,"('ErrorHandle', 'HelpSeek', 'ErrorHandle')",-0.6602087020874023;0.43695059418678284
139,5,"('HelpSeek', 'ErrorHandle', 'DataParse')",-0.7599007487297058;0.2234177440404892
140,23,"('DataParse', 'SessionInit', 'HelpSeek')",-0.6091675758361816;-0.25316423177719116
141,17,"('SessionInit', 'HelpSeek', 'SessionInit')",-0.6602087020874023;0.43695059418678284
142,16,"('ErrorHandle', 'DataParse', 'HelpSeek')",-0.7599007487297058;0.2234177440404892
143,6,"('DataParse', 'HelpSeek', 'DataBind')",-0.6602087020874023;0.43695059418678284
144,5,"('DataParse', 'HelpSeek', 'DataParse')",-0.5802133679389954;0.3059729337692261
